session,trial,phrase,click_load,entry_rate,correction_rate,num_chars,num_clocks,win_diff
1,0,1,4.0,9.463518541252338,0.0,7,72.0,6.0
1,0,2,3.0,15.237597561699326,0.0,7,72.0,6.0
1,0,3,2.8,16.998415435467706,0.0,7,72.0,6.0
1,0,4,3.0,7.829387531740815,0.0,7,72.0,6.0
1,0,5,3.0,11.19192197215163,0.0,7,72.0,6.0
1,0,6,2.8,10.72493904927994,0.0,7,72.0,6.0
1,0,7,2.8,11.603401847237444,0.0,7,72.0,6.0
1,0,8,2.8,10.380808329892313,0.0,7,72.0,6.0
1,0,9,2.8,13.948908801415076,0.0,7,72.0,6.0
1,0,10,2.8,12.997952573045444,0.0,7,72.0,6.0
1,0,11,2.8,14.193821145333931,0.0,7,72.0,6.0
1,0,12,2.8,17.021559742817296,0.0,7,72.0,6.0
1,0,13,2.8,10.839996235201808,0.0,7,72.0,6.0
1,0,14,2.8,12.04965587792866,0.0,7,72.0,6.0
1,0,15,3.6,10.319661905748559,0.125,7,72.0,6.0
1,0,16,2.8,14.0968657230524,0.0,7,72.0,6.0
1,0,17,3.6,7.299015199294161,0.125,7,72.0,6.0
1,0,18,2.8,10.046023654904904,0.0,7,72.0,6.0
1,0,19,3.6,10.127290767234953,0.125,7,72.0,6.0
1,0,20,3.2,9.027827889899616,0.0,7,72.0,6.0
1,0,21,2.4,12.010514769047345,0.0,6,72.0,6.0
2,0,1,2.8,12.949695047981699,0.0,7,72.0,6.0
2,0,2,2.8,11.312742878111358,0.0,7,72.0,6.0
2,0,3,3.6,9.488902990956563,0.125,7,72.0,6.0
2,0,4,2.8,9.766691591173405,0.0,7,72.0,6.0
2,0,5,2.8,11.546072108845506,0.0,7,72.0,6.0
2,0,6,2.8,9.623959253939912,0.0,7,72.0,6.0
2,0,7,3.6,8.49465047511956,0.125,7,72.0,6.0
2,0,8,2.8,11.565091606307659,0.0,7,72.0,6.0
2,0,9,2.8,10.868548570563815,0.0,7,72.0,6.0
2,0,10,2.8,11.910950417990321,0.0,7,72.0,6.0
2,0,11,2.8,11.422074460534589,0.0,7,72.0,6.0
2,0,12,2.8,11.912780841394566,0.0,7,72.0,6.0
2,0,13,2.8,11.692770616950515,0.0,7,72.0,6.0
2,0,14,2.8,11.850093952217952,0.0,7,72.0,6.0
2,0,15,3.6,7.622266030168927,0.125,7,72.0,6.0
2,0,16,2.8,10.985245167057803,0.0,7,72.0,6.0
2,0,17,2.8,11.35715057468541,0.0,7,72.0,6.0
2,0,18,2.8,14.385984954896527,0.0,7,72.0,6.0
2,0,19,2.8,10.384924633177164,0.0,7,72.0,6.0
2,0,20,2.8,8.127964087637213,0.0,7,72.0,6.0
2,0,21,3.6,8.879079409088837,0.125,7,72.0,6.0
3,0,1,2.8,9.750429051959308,0.0,7,72.0,6.0
3,0,2,2.8,10.700883835669295,0.0,7,72.0,6.0
3,0,3,2.8,11.631786051283859,0.0,7,72.0,6.0
3,0,4,2.8,8.417967922984237,0.0,7,72.0,6.0
3,0,5,2.8,9.111251508853705,0.0,7,72.0,6.0
3,0,6,2.8,10.83007500251789,0.0,7,72.0,6.0
3,0,7,2.8,10.416201690549725,0.0,7,72.0,6.0
3,0,8,2.8,12.03887822384127,0.0,7,72.0,6.0
3,0,9,2.8,12.375826423276155,0.0,7,72.0,6.0
3,0,10,2.8,11.748749692618677,0.0,7,72.0,6.0
3,0,11,2.8,12.18299101529844,0.0,7,72.0,6.0
3,0,12,3.0,10.95332858773985,0.0,7,72.0,6.0
3,0,13,3.0,9.333070622901534,0.0,7,72.0,6.0
3,0,14,2.8,13.026483428742914,0.0,7,72.0,6.0
3,0,15,2.8,10.47887103436969,0.0,7,72.0,6.0
3,0,16,3.0,12.57855470105586,0.0,7,72.0,6.0
3,0,17,2.8,15.004383757959236,0.0,7,72.0,6.0
3,0,18,3.0,13.287013978519498,0.0,7,72.0,6.0
3,0,19,2.8,11.968075461516763,0.0,7,72.0,6.0
3,0,20,2.8,12.130600600940305,0.0,7,72.0,6.0
3,0,21,2.8,8.925681636999151,0.0,7,72.0,6.0
3,0,22,2.8,11.460647635950666,0.0,7,72.0,6.0
1,1,1,3.6,11.67660851169304,0.0,7,72.0,6.0
1,1,2,2.8,19.812604388690826,0.0,7,72.0,6.0
1,1,3,3.0,11.746703946257234,0.0,7,72.0,6.0
1,1,4,2.8,8.418706229803712,0.0,7,72.0,6.0
1,1,5,2.8,14.68515503863316,0.0,7,72.0,6.0
1,1,6,2.8,9.595908570292737,0.0,7,72.0,6.0
1,1,7,2.8,11.26471424586197,0.0,7,72.0,6.0
1,1,8,2.8,10.780652565807218,0.0,7,72.0,6.0
1,1,9,2.8,12.473263406936109,0.0,7,72.0,6.0
1,1,10,2.8,11.290658528198007,0.0,7,72.0,6.0
1,1,11,2.8,12.562451385521268,0.0,7,72.0,6.0
1,1,12,2.8,17.617115037751148,0.0,7,72.0,6.0
1,1,13,2.8,12.09833399768492,0.0,7,72.0,6.0
1,1,14,2.8,14.977583166891053,0.0,7,72.0,6.0
1,1,15,2.8,11.781701704475896,0.0,7,72.0,6.0
1,1,16,2.8,11.06778805184636,0.0,7,72.0,6.0
1,1,17,2.8,14.829850909872192,0.0,7,72.0,6.0
1,1,18,3.0,8.5594377610541,0.0,7,72.0,6.0
1,1,19,3.0,10.208921252829468,0.0,7,72.0,6.0
1,1,20,2.8,12.854644670972931,0.0,7,72.0,6.0
1,1,21,3.2,8.689363137550142,0.0,7,72.0,6.0
1,1,22,2.4,15.189266452949301,0.0,6,72.0,6.0
2,1,1,2.8,14.870269847180863,0.0,7,72.0,6.0
2,1,2,2.8,12.00086439597904,0.0,7,72.0,6.0
2,1,3,3.8,7.8671094766365055,0.125,7,72.0,6.0
2,1,4,2.8,10.761530468651678,0.0,7,72.0,6.0
2,1,5,2.8,10.486859753769842,0.0,7,72.0,6.0
2,1,6,2.8,10.994419632059358,0.0,7,72.0,6.0
2,1,7,3.0,11.09661360739549,0.0,7,72.0,6.0
2,1,8,2.8,11.822119803418788,0.0,7,72.0,6.0
2,1,9,2.8,10.859250272164411,0.0,7,72.0,6.0
2,1,10,2.8,10.838494064386015,0.0,7,72.0,6.0
2,1,11,2.8,9.126463397754483,0.0,7,72.0,6.0
2,1,12,2.8,17.326075963909418,0.0,7,72.0,6.0
2,1,13,2.8,14.38051877205145,0.0,7,72.0,6.0
2,1,14,2.8,10.978167855417421,0.0,7,72.0,6.0
2,1,15,2.8,10.189444106949711,0.0,7,72.0,6.0
2,1,16,3.0,9.778379611434548,0.0,7,72.0,6.0
2,1,17,2.8,14.47744117039914,0.0,7,72.0,6.0
2,1,18,2.8,11.18967492021162,0.0,7,72.0,6.0
2,1,19,3.8,9.179685224963329,0.125,7,72.0,6.0
